23 Ltd.
Activist Green Fund
Advanced Flower Capital
Althea Equity LLC
Bernstein IP
Delta Emerald Ventures
Emerald Park Capital
Equitas Partners
Fincann
JK Industries
Keneh Ventures
Laguna Creek Capital
Mary Areca Babcock Inc.
MDM Enterprise Solutions Inc.
Meadeco LLC
Mission Capital Advisors LLC
Poseidon Asset Management
Primary Growth Partners LLC
Receptive Capital
Right Side Advisory Services
Satori Investment Partners
Silver Leaf Investment Partners
Silver Spike Capital LLC
Skip Intro Advisors
Sullivan Adventures LLC (and Arcview Ventures)
Terry & Co. LLC
The Arcview Group
The GIGG LLC
The Panther Group
The People's Ecosystem
Thrice3
Townhall Investment Research
Treehouse Ventures
UCS ADVISORS
Wald Enterprises GP
West Creek Investments
White Owl Capital
Wolf Meyer
Young America Capital LLC
Z26 Partner LLC + dozens of HNW Individuals
