11th Level Inc.
710 Sf Inc
Acreage Holdings
Aunt Mary's Inc.
Ayr Wellness
Balboa Venture Partnership LLC
Baltimore41 LLC
Benedict's Supply LLC
Berkshire Welco LLC
BestBuds LLC
Black Star Property Management
Blue Violets LLC
Blunts & Moore
Bridge City Collective
Buds & Roses Collective Inc
Buttercup & Spring
Caliva
Canna Provisions
Canopy Crossroad
Canuvo
Castetter Cannabis
Come Back Daily
Community Wellness Center of NJ LLC
Cresco Labs
CULTA
Cultivate
Curaleaf
Dutch Boy Dispensary
Elevated by TheCannaBossLady
Emerald Growth Partners LLC
Etain Health
Farmers Choice Dispensary LLC
FCD HOLDINGS INC
First Class Cannabis Co
Flower & Soul Inc.
Gold Flora
Good Times Crenshaw
Gorilla Rx Wellness Co.
Happy Daze Boutique LLC
Happy Munkey LLC
Happy Valley
Harborside Inc.
HIGHMINDED LLC
Holding Dragons
Holistic Industries
Holyoke Leaf
Hyze Cannabis LLC
Illuminated Leaf Incorporated
Jane. NJ
JDA Industries
Jushi Holdings
Lake Life Farms
Lake Merritt Equity LLC
Marche Cannabis
Marimed
Mary and Main
Mazor Collective
Medicine Man
Mojo Botanica LLC
Molly Ann Farms LLC
MOM SLO LLC
Mother's Helper LLC
MWG Holdings
Nana and Pop
Native Roots
Nobo Michigan LLC
NY Hemp Oil
Padre Mu
Qple LLC
Redbud Natures Medicine
Rev Brands
Revolutionary Clinics
Rooted in Virginia
Sanctuary Med
SEED5 LLC
Seven Leaf Sisters Inc - Massachusetts
Shinybud cannabis co 299 main
Siban Holdings Inc.
Solar Therapeutics Inc.
SoulFlora
Spleef NYC
Stage R1 LLC
Stash Queens Inc
StateHouse Holdings
Suite Green Collective
SWCO Inc
Ten-Ten LLC - Sheffield MA
Texas Original Cannabis Company
The Cannabis Place
The Green Room
The High End
The House Cannabis
The Jersey Joint Inc.
The Pass
TheraTrue
TILT Holdings
Tiva NJ LLC
TLC's The Hideaway
Trade Roots
Two Buds LLC
Union Twist Holdings LLC
WhiteboxTHC LLC
WISE CO.
